
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:33] Pacote #92: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #93: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #94: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #95: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #96: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #97: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #98: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #99: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #100: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #101: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #102: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #103: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #104: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #105: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #106: 136 bytes capturados, 136 bytes no fio
[23:39:33] Pacote #107: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #108: 114 bytes capturados, 114 bytes no fio
[23:39:33] Pacote #109: 138 bytes capturados, 138 bytes no fio
[23:39:33] Pacote #110: 150 bytes capturados, 150 bytes no fio
[23:39:33] Pacote #111: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #112: 102 bytes capturados, 102 bytes no fio
[23:39:33] Pacote #113: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #114: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #115: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #116: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #117: 148 bytes capturados, 148 bytes no fio
[23:39:33] Pacote #118: 1518 bytes capturados, 2808 bytes no fio
[23:39:33] Pacote #119: 707 bytes capturados, 707 bytes no fio
[23:39:33] Pacote #120: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #121: 1518 bytes capturados, 2526 bytes no fio
[23:39:33] Pacote #122: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #123: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #124: 974 bytes capturados, 974 bytes no fio
[23:39:33] Pacote #125: 1494 bytes capturados, 1494 bytes no fio
[23:39:33] Pacote #126: 1025 bytes capturados, 1025 bytes no fio
[23:39:33] Pacote #127: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #128: 88 bytes capturados, 88 bytes no fio
[23:39:33] Pacote #129: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #130: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #131: 1494 bytes capturados, 1494 bytes no fio
[23:39:33] Pacote #132: 753 bytes capturados, 753 bytes no fio
[23:39:33] Pacote #133: 185 bytes capturados, 185 bytes no fio
[23:39:33] Pacote #134: 96 bytes capturados, 96 bytes no fio
[23:39:33] Pacote #135: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #136: 1518 bytes capturados, 1639 bytes no fio
[23:39:33] Pacote #137: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #138: 88 bytes capturados, 88 bytes no fio
[23:39:33] Pacote #139: 170 bytes capturados, 170 bytes no fio
[23:39:33] Pacote #140: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #141: 151 bytes capturados, 151 bytes no fio
[23:39:33] Pacote #142: 117 bytes capturados, 117 bytes no fio
[23:39:33] Pacote #143: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #144: 365 bytes capturados, 365 bytes no fio
[23:39:33] Pacote #145: 707 bytes capturados, 707 bytes no fio
[23:39:33] Pacote #146: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #147: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #148: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #149: 1294 bytes capturados, 1294 bytes no fio
[23:39:33] Pacote #150: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #151: 979 bytes capturados, 979 bytes no fio
[23:39:33] Pacote #152: 185 bytes capturados, 185 bytes no fio
[23:39:33] Pacote #153: 92 bytes capturados, 92 bytes no fio
[23:39:33] Pacote #154: 93 bytes capturados, 93 bytes no fio
[23:39:33] Pacote #155: 96 bytes capturados, 96 bytes no fio
[23:39:33] Pacote #156: 93 bytes capturados, 93 bytes no fio
[23:39:33] Pacote #157: 910 bytes capturados, 910 bytes no fio
[23:39:33] Pacote #158: 114 bytes capturados, 114 bytes no fio
[23:39:33] Pacote #159: 99 bytes capturados, 99 bytes no fio
[23:39:33] Pacote #160: 1431 bytes capturados, 1431 bytes no fio
[23:39:33] Pacote #161: 300 bytes capturados, 300 bytes no fio
[23:39:33] Pacote #162: 98 bytes capturados, 98 bytes no fio
[23:39:33] Pacote #163: 92 bytes capturados, 92 bytes no fio
[23:39:33] Pacote #164: 92 bytes capturados, 92 bytes no fio
[23:39:33] Pacote #165: 185 bytes capturados, 185 bytes no fio
[23:39:33] Pacote #166: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #167: 390 bytes capturados, 390 bytes no fio
[23:39:33] Pacote #168: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #169: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #170: 252 bytes capturados, 252 bytes no fio
[23:39:33] Pacote #171: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #172: 90 bytes capturados, 90 bytes no fio
[23:39:33] Pacote #173: 217 bytes capturados, 217 bytes no fio
[23:39:33] Pacote #174: 120 bytes capturados, 120 bytes no fio
[23:39:33] Pacote #175: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #176: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #177: 171 bytes capturados, 171 bytes no fio
[23:39:33] Pacote #178: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #179: 94 bytes capturados, 94 bytes no fio
[23:39:33] Pacote #180: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #181: 1494 bytes capturados, 1494 bytes no fio
[23:39:33] Pacote #182: 1029 bytes capturados, 1029 bytes no fio
[23:39:33] Pacote #183: 184 bytes capturados, 184 bytes no fio
[23:39:33] Pacote #184: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #185: 1518 bytes capturados, 1639 bytes no fio
[23:39:33] Pacote #186: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #187: 170 bytes capturados, 170 bytes no fio
[23:39:33] Pacote #188: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #189: 151 bytes capturados, 151 bytes no fio
[23:39:33] Pacote #190: 117 bytes capturados, 117 bytes no fio
[23:39:33] Pacote #191: 86 bytes capturados, 86 bytes no fio
[23:39:33] Pacote #192: 86 bytes capturados, 86 bytes no fio
[23:39:34] Pacote #193: 96 bytes capturados, 96 bytes no fio
[23:39:34] Pacote #194: 96 bytes capturados, 96 bytes no fio
[23:39:34] Pacote #195: 128 bytes capturados, 128 bytes no fio
[23:39:34] Pacote #196: 180 bytes capturados, 180 bytes no fio
[23:39:34] Pacote #197: 74 bytes capturados, 74 bytes no fio
[23:39:34] Pacote #198: 86 bytes capturados, 86 bytes no fio
[23:39:34] Pacote #199: 78 bytes capturados, 78 bytes no fio
[23:39:34] Pacote #200: 74 bytes capturados, 74 bytes no fio
[23:39:34] Pacote #201: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #202: 678 bytes capturados, 678 bytes no fio
[23:39:34] Pacote #203: 94 bytes capturados, 94 bytes no fio
[23:39:34] Pacote #204: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #205: 213 bytes capturados, 213 bytes no fio
[23:39:34] Pacote #206: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #207: 72 bytes capturados, 72 bytes no fio
[23:39:34] Pacote #208: 111 bytes capturados, 111 bytes no fio
[23:39:34] Pacote #209: 1506 bytes capturados, 1506 bytes no fio
[23:39:34] Pacote #210: 651 bytes capturados, 651 bytes no fio
[23:39:34] Pacote #211: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #212: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #213: 66 bytes capturados, 66 bytes no fio
[23:39:34] Pacote #214: 383 bytes capturados, 383 bytes no fio
[23:39:34] Pacote #215: 1506 bytes capturados, 1506 bytes no fio
[23:39:34] Pacote #216: 661 bytes capturados, 661 bytes no fio
[23:39:34] Pacote #217: 1059 bytes capturados, 1059 bytes no fio
[23:39:34] Pacote #218: 66 bytes capturados, 66 bytes no fio
[23:39:35] Pacote #219: 66 bytes capturados, 66 bytes no fio
[23:39:35] Pacote #220: 502 bytes capturados, 502 bytes no fio
[23:39:35] Pacote #221: 66 bytes capturados, 66 bytes no fio
[23:39:35] Pacote #222: 94 bytes capturados, 94 bytes no fio
[23:39:35] Pacote #223: 90 bytes capturados, 90 bytes no fio
[23:39:35] Pacote #224: 90 bytes capturados, 90 bytes no fio
[23:39:35] Pacote #225: 90 bytes capturados, 90 bytes no fio
[23:39:35] Pacote #226: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #227: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #228: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #229: 86 bytes capturados, 86 bytes no fio
[23:39:35] Pacote #230: 86 bytes capturados, 86 bytes no fio
[23:39:35] Pacote #231: 98 bytes capturados, 98 bytes no fio
[23:39:35] Pacote #232: 98 bytes capturados, 98 bytes no fio
[23:39:35] Pacote #233: 98 bytes capturados, 98 bytes no fio
[23:39:35] Pacote #234: 81 bytes capturados, 81 bytes no fio
[23:39:35] Pacote #235: 81 bytes capturados, 81 bytes no fio
[23:39:35] Pacote #236: 81 bytes capturados, 81 bytes no fio
[23:39:35] Pacote #237: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #238: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #239: 88 bytes capturados, 88 bytes no fio
[23:39:35] Pacote #240: 88 bytes capturados, 88 bytes no fio
